section_id,pavement_type,delivered_dsr,delivered_cost,delivered_step,episode_scr,n_states,variant,base_type,seed
16_1010,flexible,1.0,38.66943285897662,3,0.6190476190476191,21,no-generator-no-rag,flexible,0
04_1034,flexible,1.0,38.64716907845668,2,0.5714285714285714,21,no-generator-no-rag,flexible,0
27_1085,flexible,1.0,38.682990525266455,2,0.5714285714285714,21,no-generator-no-rag,flexible,0
12_1060,flexible,1.0,38.03074820861701,2,0.5238095238095238,21,no-generator-no-rag,flexible,0
48_1076,flexible,1.0,38.48878066804868,2,0.5714285714285714,21,no-generator-no-rag,flexible,0
48_0001,flexible,1.0,37.9256140541572,2,0.5714285714285714,21,no-generator-no-rag,flexible,0
16_1010,flexible,1.0,38.5015379496007,6,1.0,21,no-generator-no-rag,flexible,1
04_1034,flexible,1.0,38.56957211709985,6,0.9523809523809523,21,no-generator-no-rag,flexible,1
27_1085,flexible,1.0,38.54496262601949,6,0.9523809523809523,21,no-generator-no-rag,flexible,1
12_1060,flexible,1.0,38.211522026722854,5,0.9523809523809523,21,no-generator-no-rag,flexible,1
48_1076,flexible,1.0,38.67328978328981,6,0.9523809523809523,21,no-generator-no-rag,flexible,1
48_0001,flexible,1.0,37.329043281201045,4,1.0,21,no-generator-no-rag,flexible,1
16_1010,flexible,1.0,38.45094737508398,10,1.0,21,no-generator-no-rag,flexible,2
04_1034,flexible,1.0,38.52871816245784,10,1.0,21,no-generator-no-rag,flexible,2
27_1085,flexible,1.0,38.493031281480995,10,1.0,21,no-generator-no-rag,flexible,2
12_1060,flexible,1.0,37.60712945407739,7,1.0,21,no-generator-no-rag,flexible,2
48_1076,flexible,1.0,38.5842300767163,9,1.0,21,no-generator-no-rag,flexible,2
48_0001,flexible,1.0,36.32515723272332,5,1.0,21,no-generator-no-rag,flexible,2
