section_id,pavement_type,delivered_dsr,delivered_cost,delivered_step,episode_scr,n_states,episode_guard_violations,episode_fea_failures,variant,base_type,seed
16_1010,flexible,1.0,41.90163296527723,4,1.0,21,0,0,no-guard,flexible,0
04_1034,flexible,1.0,41.89011470904216,4,1.0,21,0,0,no-guard,flexible,0
27_1085,flexible,1.0,41.89444024827754,4,1.0,21,0,0,no-guard,flexible,0
12_1060,flexible,1.0,41.46466568366264,11,1.0,21,0,0,no-guard,flexible,0
48_1076,flexible,1.0,41.865095528351915,5,1.0,21,0,0,no-guard,flexible,0
48_0001,flexible,1.0,39.81951960216646,16,1.0,21,0,0,no-guard,flexible,0
16_1010,flexible,1.0,41.30707612195685,5,0.2857142857142857,21,0,0,no-guard,flexible,1
04_1034,flexible,1.0,41.32098939645711,5,0.2857142857142857,21,0,0,no-guard,flexible,1
27_1085,flexible,1.0,41.315488524601115,5,0.2857142857142857,21,0,0,no-guard,flexible,1
12_1060,flexible,1.0,40.22725073417842,12,1.0,21,0,0,no-guard,flexible,1
48_1076,flexible,1.0,41.35454210816062,5,0.3333333333333333,21,0,0,no-guard,flexible,1
48_0001,flexible,1.0,41.36783868260307,12,0.7619047619047619,21,0,0,no-guard,flexible,1
16_1010,flexible,1.0,42.090694444444445,0,0.47619047619047616,21,0,0,no-guard,flexible,2
04_1034,flexible,1.0,42.090694444444445,0,0.47619047619047616,21,0,0,no-guard,flexible,2
27_1085,flexible,1.0,42.090694444444445,0,0.47619047619047616,21,0,0,no-guard,flexible,2
12_1060,flexible,1.0,42.090694444444445,0,0.42857142857142855,21,0,0,no-guard,flexible,2
48_1076,flexible,1.0,42.090694444444445,0,0.47619047619047616,21,0,0,no-guard,flexible,2
48_0001,flexible,1.0,42.090694444444445,0,0.38095238095238093,21,0,0,no-guard,flexible,2
